N24Source,N24Text,N24Time,N24Title
Twitter,"虎扑4月3日讯 据统计，勇士前锋凯文-杜兰特今天共计被罚款25000美元。分别来自：,-上周五批评裁判罚款15000美元；,-今晚的第一个技术犯规罚款4000美元；,-今晚的第二个技术犯规罚款4000美元；,-今晚被驱逐罚款2000美元。,本场比赛杜兰特离场前上场21分钟，得到21分3篮板6助攻2封盖。","<span id=""pubtime_baidu""> 2019-04-03 12:59:45 </span>","
            两万五！杜兰特今天被开四张罚款单        "
KNBR,"虎扑4月3日讯 在今天的一场常规赛中，勇士116-102主场击败掘金。赛后勇士球员德雷蒙德-格林接受记者采访。,谈到德马库斯-考辛斯和尼古拉-约基奇的对位，格林表示：“那是他们（中锋之间）的私事。安德鲁-博古特回来之后，人们对考辛斯的要求更高了。我很开心看到他在最近的几场比赛里发挥出色。”,当被问及是否会觉得裁判最近几场比赛对勇士“特殊关照”，格林说：“我不知道，我很久之前就放弃搞懂裁判在做什么了。”,在采访中格林还谈到了斯蒂芬-库里的“致敬行动（Operation GOAT）”，即在搬离甲骨文球馆之前穿各个勇士名宿的球衣入场。“我非常尊敬每一位在我之前来到这个球队的人，但这一件（杰森-理查德森，23号）是我唯一想要穿的。当我知道库里的想法之后，我觉得简直太棒了。有一天我比斯蒂芬更早到了更衣室——这件事情说明早早到达球馆是有好处的——我看到他把所有的名宿球衣都挂在柜子里，我就把这件拿走，呃，偷走了。”,格林和理查德森都在密歇根州萨吉诺长大，两人都去了密歇根州立大学读书，都为勇士队效力。而且两人的球衣号码都是23号。,“我穿着这件球衣感觉很好。作为一个在萨吉诺长大的孩子，看着（理查森）打出名堂很大的增加了我的信心，”格林说。“（理查德森），（前匹兹堡钢人队的）拉马尔-伍德利，所有那些人，我看着他们的比赛长大。 然后，我来到密歇根州立大学，来到勇士队，穿起23号球衣，这就像是一个循环。今天穿这件球衣真的让我很开心。”,本场比赛格林上场30分钟，拿到6分9篮板9助攻1抢断2封盖；考辛斯上场29分钟，拿到28分13篮板5助攻2抢断2封盖；约基奇上场28分钟，拿到10分5篮板6助攻4抢断。","<span id=""pubtime_baidu""> 2019-04-03 17:00:34 </span>","
            格林：我早就放弃搞懂裁判们在做什么了        "
虎扑,"虎扑4月3日讯 今天雷霆在主场迎战湖人，雷霆最终119-103战胜湖人，雷霆后卫威斯布鲁克得到了20分20篮板21助攻。,视频：,这是威斯布鲁克生涯首次达成20+20+20的三双，同时也是时隔51年，张伯伦后首位达成此数据的球员，当时张伯伦得到了22分25篮板21助攻，这也是历史上仅有的两次20+20+20三双。, ","<span id=""pubtime_baidu""> 2019-04-03 10:30:04 </span>","
            威少达成20+20+20三双，时隔51年，张伯伦后首人        "
Instagram,"虎扑4月3日讯 在今天勇士116-102击败掘金的比赛赛前，勇士后卫斯蒂芬-库里穿着一件前勇士球员安德里斯-比德林斯的勇士复古15号球衣入场。,赛后，库里在个人Instagram上晒出了一段自己入场的视频并写道：“你们知道他的。我的拉脱维亚兄弟安德里斯-比德林斯。祝你生日快乐。”,随后比德林斯也在社交媒体上表达了感谢：“天啦，我看到你了库里，很开心看到你穿了我的球衣，希望能尽快见到你，我的兄弟。”,美国当地时间4月2日是比德林斯33岁的生日。比德林斯在2004年首轮第11顺位被勇士选中，随勇士征战9个赛季，场均上场21.8分钟，得到6.4分7.1篮板1.1盖帽。","<span id=""pubtime_baidu""> 2019-04-03 16:09:21 </span>","
            库里穿比德林斯球衣入场：今天是他生日        "
休斯顿纪事报,"虎扑4月3日讯 火箭明日对阵快船，火箭的奥斯汀-里弗斯将面对自己的父亲道格-里弗斯。,“我一点也不在乎，伙计，我不知道为何人们对此如此好奇，我不明白，我在这个联盟已经7个赛季了，这不是我第1次对阵他，这是我在火箭第1次跟他对决，但是我们俩都非常有竞争性，还有我们之间的那种关系，我们个人都不在乎。”小里弗斯说道。,小里弗斯接着说：“我甚至也不再认为这是奇观了，我认为当我们交手的时候，会有人说一些事情，如果我们最终在季后赛里跟他们交手的话，这会是一个话题，这会不一样，那会很奇怪，但是我肯定想赢下那个系列赛。”,如果在季后赛碰面并淘汰了快船呢？小里弗斯说：“我一点也不在乎，他已经有一个总冠军了，我还什么都没有，让我们完成一些事情吧，让我们夺冠，我在努力夺冠，如果我把他们淘汰了，那是他们的错，跟他们淘汰我们一样，如果我爸爸淘汰了我们，我了解我爸，他不会难过一秒的，他甚至不会因此失眠一个小时。”,“在小时候，他从没有让我赢过任何东西，什么都没有，现在这是他的工作，他以此赚了数百万的美元，在赛后他会跟我说垃圾话的。”小里弗斯说道。,小里弗斯已经记不清自己第一次击败自己的父亲是什么时候了，他称是自己6、7年级的时候。,“他当时太老了，而我的运动能力开始变得不错，但是如果我们在季后赛相遇，淘汰我，他不会在乎的，如果我们淘汰了他们，我肯定会让他知道的，如果是他们淘汰了我们，他也会一样，我整个夏天都会听到他说这个的。”小里弗斯说道。,小里弗斯表示，他宁愿不在季后赛里对阵快船，原因是他不想回答记者的那些问题，他说：“那样我就可以不用应对这些了，对阵快船，我必须要回答记者很多问题，谁知道你们会问什么？是否会困扰我？虽然这不会影响到我的表现，但是我宁愿不对阵快船。”,另外，小里弗斯称他享受自己之前在快船为他父亲打球的时光，他称那是很棒的几个赛季。,“我早已经准备好翻篇了，我爸也是一样。”小里弗斯说道。,之前小里弗斯跟随奇才对阵快船的时候，快船为小里弗斯送上了致敬视频。,“我认为我自己是一名不错的球员，在那里的几个赛季都不错，但是我不是克里斯-保罗，所以我感激快船这么做。”小里弗斯说道。,小里弗斯接着说：“那几个赛季改变了我的一生，如果我回到那里，总是会有特殊的感觉，周四就会是这样。”,“在此刻，明日就是另外一场比赛，真的没有什么大不了，我认为这对我爸爸来说也没什么大不了，如果我们季后赛相遇，情况就会完全不一样了，但是我必须要赢下那个系列赛，我不能在季后赛被他淘汰。”小里弗斯说道。","<span id=""pubtime_baidu""> 2019-04-03 14:47:00 </span>","
            小里弗斯：我宁愿不在季后赛遇到我爸执教的快船        "
Twitter,"虎扑4月3日讯 勇士今日将在主场对阵掘金，勇士后卫斯蒂芬-库里今日穿着一件前勇士球员安德里斯-比德林斯的勇士复古15号球衣入场。,比德林斯来自拉脱维亚，2004年首轮第11顺位被勇士选中，随勇士征战9个赛季，场均上场21.8分钟，得到6.4分7.1篮板1.1盖帽。","<span id=""pubtime_baidu""> 2019-04-03 09:07:31 </span>","
            致敬前辈！库里穿安德里斯-比德林斯的球衣入场        "
休斯顿纪事报,"虎扑4月3日讯 火箭的杰拉德-格林（内收肌拉伤）预计将在明日或者本周六复出，他不担心缺阵让他失去了比赛节奏的问题。,“你们必须要清楚，在上赛季的时候，我来到球队就上场了，我调整适应不需要太久。”格林说道。,不过这一次，格林学到了教训，他之前在赛前热身扣篮时受伤，当时那只是一次普通的空接扣篮。,“特别是这次我自己在热身时扣篮受伤，这些扣篮是一些无意义的事情，这让我意识到了我必须要更好地照顾好自己的身体，我在变老，我不再是那个起床就能完成胯下换手扣篮的孩子了，即使我仍然可以做到这一点，我也必须要进行一些热身拉伸，之后进行冰敷来让自己恢复。”格林说道。,格林接着说：“就是在热身训练前先进行热身，我现在已经33岁了，我必须要保养好自己的身体。”,格林称他在缺席的时候一直在进行投篮，他说：“这对我来说很重要，我一直在训练，我确实感觉不错，我一直在训练，我还没有达到自己想达到的状态，但是我仍然需要打出高水准，希望明日我会感觉不错，如果不行的话，我现在的情况仍然需要每日观察。”","<span id=""pubtime_baidu""> 2019-04-03 10:35:00 </span>","
            格林谈扣篮受伤：我已不是起床就能胯下换手扣篮的孩子了        "
Twitter,"虎扑4月3日讯 在今天的一场常规赛中，勇士116-102主场击败掘金。赛后勇士后卫斯蒂芬-库里接受记者采访。,谈到自己得分超过克里斯-穆林，成为勇士队史第四时，库里开玩笑地说：“我不太开心，这个房间里的某人（指勇士公关部门的Raymond Ridder）没有提前提醒我，我离克里斯的纪录这么近了。”,“虽然科尔把我换下去了（笑），但对我来说这依然是很有纪念意义的一个晚上。我很尊敬克里斯在职业生涯里穿着勇士球衣时所做的一切，他的球衣现在悬挂在甲骨文中心的天花板上。我很荣幸与他共享这个时刻。”,本场比赛库里上场30分钟，得到17分4篮板5助攻3抢断。","<span id=""pubtime_baidu""> 2019-04-03 15:18:37 </span>","
            库里打趣：虽然教练换下了我，但这仍是很有意义的夜晚        "
洛杉矶时报,"虎扑4月3日讯 今日比赛中雷霆119-103击败湖人，赛后雷霆球员拉塞尔-威斯布鲁克接受了采访。,威斯布鲁克本场打出了20+20+20的三双数据，他表示这都是为了自己的兄弟Nipsey Hussle（美国说唱歌手，于当地时间周日被杀）。,“这不是为了我自己，伙计，”威斯布鲁克说道，“那是为了我的兄弟，为了Nipsey，20+20+20，他们清楚这意味着什么，这就是为了我的兄弟，安息吧，Nipsey。”,比赛最后时刻当威斯布鲁克达成20+20+20的数据时，雷霆为他喊了暂停，全场球迷也为之欢呼，不过威斯布鲁克对此并不愿说太多。,“那很重要，”威斯布鲁克说道，“老实说我不能——我不想用语言来表达出来，但就像我在场上说得那样这是为了谁，我就讲到这里。”,本场比赛中威斯布鲁克出战37分钟，23投8中得到20分20篮板21助攻。","<span id=""pubtime_baidu""> 2019-04-03 15:46:09 </span>","
            威斯布鲁克：三20三双不是为自己，是为了兄弟Nipsey        "
Twitter,"虎扑4月3日讯 在今天的一场常规赛中，湖人103-119负于雷霆。赛后湖人后卫拉简-隆多接受采访，谈到了雷霆球员拉塞尔-威斯布鲁克的20+20+20。,“他是个很好的球员。他很擅长助攻，今晚他的队友们也站出来抓住了机会，命中了那些投篮。而且他一直很会抢篮板。”,“想要达成这一成就，你一定得有非常好的队友，默契的团队才能实现那些传球、助攻和命中。”,“这真的很难，毕竟历史上只有两人能够完成，这真令人难以置信。”,当记者谈到他也曾经在比赛中拿到超过二十次助攻时，隆多表示：“我不记得了，我猜已经过去很久了。祝贺他，而且更重要的是，他们赢了。”,本场比赛隆多上场36分钟，拿到7分10篮板9助攻1抢断；威斯布鲁克上场37分钟，拿到20分20篮板21助攻3抢断。","<span id=""pubtime_baidu""> 2019-04-03 16:00:42 </span>","
            隆多称赞：默契的团队帮威少达成三20成就        "
