PName,PNumber,PLocation,PHeight,PWeight,PBirth,PContract,PCurrent_salary,PTeam
克里斯-保罗,3,G,1.83米/6尺0,79公斤/175磅,1985-05-06,4年1.6亿美元，2018年夏天签，2022年夏天到期,3565,休斯顿火箭
詹姆斯-哈登,13,G,1.96米/6尺5,100公斤/220磅,1989-08-26,2016年夏天在旧合同期内以4年1.18亿美元提前续约至2020年，2017年夏天再次以4年1.7亿美元提前续约至2023年，2022-23赛季球员选项,3043,休斯顿火箭
克林特-卡佩拉,15,C,2.11米/6尺11,109公斤/240磅,1994-05-18,5年9000万美元，2018年夏天签，2023年夏天到期，其中8000万美元保障，每赛季火箭进入西决奖励100万美元，防守篮板率达到30%、罚球命中率达到65%各奖励50万美元,1379,休斯顿火箭
埃里克-戈登,10,G,1.93米/6尺4,98公斤/215磅,1988-12-25,4年5289万美元，2016年夏天签，2020年夏天到期。,1350,休斯顿火箭
伊曼-香珀特,1,G,1.96米/6尺5,100公斤/220磅,1990-06-26,4年4000万美元，2015年夏天签，2019年夏天到期，2018-19赛季球员选项（已执行）,1101,休斯顿火箭
PJ-塔克,17,F,1.98米/6尺6,111公斤/245磅,1985-05-05,4年3188万美元，2017年夏天签，2021年夏天到期，2020-21赛季257万美元保障，2020年7月1日之前不被裁则转为全额保障,797,休斯顿火箭
内内,42,C-F,2.11米/6尺11,113公斤/250磅,1982-09-13,3年1095万美元，2017年夏天签，2020年夏天到期,365,休斯顿火箭
杰拉德-格林,14,G-F,2.01米/6尺7,93公斤/205磅,1986-01-26,1年240万美元，2018年夏天签，2019年夏天到期,240,休斯顿火箭
奥斯汀-里弗斯,25,G,1.93米/6尺4,91公斤/200磅,1992-08-01,1年116万美元，2018年12月签，2019年夏天到期,116,休斯顿火箭
肯尼思-法里德,35,F-C,2.03米/6尺8,103公斤/228磅,1989-11-19,1年92万美元，2019年1月签，2019年夏天到期,92,休斯顿火箭
以赛亚-哈尔滕施泰因,55,F-C,2.13米/7尺0,113公斤/249磅,1998-05-05,3年392万美元，2018年夏天签，2021年夏天到期,84,休斯顿火箭
加里-克拉克,6,F,2.03米/6尺8,102公斤/225磅,1994-11-16,3年367万美元，2018年12月签，其中19-20赛季50%保障，20-21赛季为无保障合同，2021年夏天到期,60,休斯顿火箭
丹纽尔-豪斯,4,G,2.01米/6尺7,98公斤/215磅,1993-06-07,双向合同,7,休斯顿火箭
文森特-爱德华兹,12,F,2.03米/6尺8,102公斤/225磅,1996-04-05,双向合同,7,休斯顿火箭
特伦斯-琼斯,9,F,2.06米/6尺9,114公斤/252磅,1992-01-09,,,休斯顿火箭
德马尔-德罗赞,10,G,2.01米/6尺7,100公斤/220磅,1989-08-07,5年1.38亿美元，2016年夏天签，2021年夏天到期,2794,圣安东尼奥马刺
拉马库斯-阿尔德里奇,12,F,2.11米/6尺11,118公斤/260磅,1985-07-19,4年8407万美元，2015年夏天签，2019年夏天到期，2018-19赛季球员选项；2017年10月以3年7230万美元提前续约，2018年夏天生效，2021年到期，如果2020年6月29日之前被裁,2235,圣安东尼奥马刺
帕蒂-米尔斯,8,G,1.83米/6尺0,84公斤/185磅,1988-08-11,4年5000万美元，2017年夏天签，2021年夏天到期,1205,圣安东尼奥马刺
鲁迪-盖伊,22,F,2.03米/6尺8,104公斤/230磅,1986-08-17,1年1008万美元，2018年夏天签，2019年夏天到期,1008,圣安东尼奥马刺
戴维斯-贝尔坦斯,42,F,2.08米/6尺10,95公斤/210磅,1992-11-12,2年1450万美元，2018年夏天签，2020年夏天到期,700,圣安东尼奥马刺
马科-贝里内利,18,G-F,1.96米/6尺5,95公斤/210磅,1986-03-25,2年1200万美元，2018年夏天签，2020年夏天到期,615,圣安东尼奥马刺
布林-福布斯,11,G,1.91米/6尺3,86公斤/190磅,1993-07-23,2年600万美元，2018年夏天签，2020年夏天到期,313,圣安东尼奥马刺
雅各布-珀尔特尔,25,C,2.13米/7尺0,104公斤/230磅,1995-10-15,4年1223万美元，2016年夏天签，2020年夏天到期，2018-19赛季、2019-20赛季球队选项,295,圣安东尼奥马刺
