TAvgLosepoint,TAvgPer,TAvgRebound,TAvgScore,TAvgTurnover,TCoach,THome,TIntroduction,TName,TStartTime,TURL
109.4,20.9,41.77,112.9,13.57,迈克-德安东尼,丰田中心 分区：西南,休斯顿火箭队是一支有着高大中锋传统的球队，从早期的摩西-马龙、拉尔夫-桑普森到哈基姆-奥拉朱旺，以及2002年来自中国的状元秀姚明。,休斯顿火箭（Houston Rockets）,1967,http://www.nba.com/rockets/
110.4,24.6,44.68,111.8,12.03,格雷格-波波维奇,AT&amp;T 中心 分区：西南,圣安东尼奥马刺是NBA现有30支球队之一，成立于1967年并加入ABA，1976年从ABA合并进入NBA，马刺队是西部联盟西南分区的球队。 ,圣安东尼奥马刺（San Antonio Spurs）,1976,http://www.nba.com/spurs/
116.5,27,47.18,115.3,14.81,阿尔文-金特里,冰沙王中心 分区：西南,新奥尔良鹈鹕队是NBA现有30支球队之一，1989年进入NBA，鹈鹕队前身为黄蜂队，从2013-14赛季开始正式更名。,新奥尔良鹈鹕（New Orleans Pelicans）,1987,http://www.nba.com/pelicans/
105.6,23.9,41.55,102.9,14.05,JB-比克斯塔夫（临时主帅）,联邦快递球馆 分区：西南,孟菲斯灰熊队是NBA现有30支球队之一，1996年进入NBA，在2010-11赛季季后赛中击败马刺上演黑八传奇。,孟菲斯灰熊（Memphis Grizzlies）,1995,http://www.nba.com/grizzlies/
109.9,23.1,45.04,108.6,14.4,里克-卡莱尔,美国航空中心 分区：西南,达斯独行侠队在1980-81赛季加盟了NBA。球队不断取得进步，终于在2011年拿到了梦寐以求的总冠军。球队之前的中文译名为小牛，在2018年1月4日时，正式将中文名更改为独行侠。,达拉斯独行侠（Dallas Mavericks）,1980,http://www.nba.com/mavericks/
111.5,29.3,46.03,117.7,14.17,史蒂夫-科尔,甲骨文球馆 分区：太平洋,金州勇士队是NBA现有30支球队之一，1947年进入NBA，勇士队是西部联盟太平洋赛区的球队。,金州勇士（Golden State Warriors）,1946,http://www.nba.com/warriors/
113.4,23.8,45.62,115.1,14.47,道格-里弗斯,斯台普斯中心 分区：太平洋,洛杉矶快船队是NBA现有30支球队之一，属于西部联盟太平洋赛区，1971年进入NBA。,洛杉矶快船（Los Angeles Clippers）,1970,http://www.nba.com/clippers/
114.7,25.5,45.57,114.1,13.55,戴夫-乔尔格,黄金一号中心 分区：太平洋,萨克拉门托国王队是NBA现有30支球队之一，1949年进入NBA，国王队是西部联盟太平洋赛区的球队。,萨克拉门托国王（Sacramento Kings）,1951,http://www.nba.com/kings/
113.6,25.5,46.29,112.2,15.52,卢克-沃顿,斯台普斯中心 分区：太平洋,洛杉矶湖人队是NBA现有30支球队之一，1949年进入NBA，湖人队是西部联盟太平洋赛区的球队。,洛杉矶湖人（Los Angeles Lakers）,1947,http://www.nba.com/lakers/
116.3,23.9,40.44,107.2,15.83,伊戈尔-科科什科夫,托金斯迪克度假酒店球馆 分区：太平洋,菲尼克斯太阳队是NBA现有30支球队之一，1969年进入NBA，太阳队是西部联盟太平洋赛区的球队。,菲尼克斯太阳（Phoenix Suns）,1968,http://www.nba.com/suns/
